id,ra,dec,B_mag,B_mag_unc,V_mag,V_mag_unc,g_mag,g_mag_unc,r_mag,r_mag_unc,i_mag,i_mag_unc,z_mag,z_mag_unc,J_mag,J_mag_unc,H_mag,H_mag_unc,K_mag,K_mag_unc,G_mag,G_mag_unc,Bp_mag,Bp_mag_unc,Rp_mag,Rp_mag_unc,parallax,parallax_unc,GaiaID
EPIC203914123,244.380744,-24.437021,10.534,0.047,9.538,0.027,10.08,0.03,9.084,0.04,8.594,0.06,,,7.088,0.023,6.532,0.033,6.321,0.017,9.053,0.0004,9.7378,0.001,8.272,0.0007,0.0022105000000000002,4.96e-05,6049666327836536960
EPIC203929178,252.422716,-24.373808,12.145,0.279,11.343,0.168,,,,,,,,,10.786,0.021,10.588,0.024,10.519,0.02,11.867,0.0012,12.1843,0.0043,11.3968,0.0024,0.0014907999999999998,0.0002389,6046899986640147072
EPIC203942067,243.824471,-24.319228,13.067,0.041,12.344,0.031,12.653,0.031,12.109,0.04,11.835,0.06,,,10.796,0.026,10.492,0.022,10.342,0.025,12.1274,0.0004,12.559,0.0011,11.5311,0.0008,0.0022349,4.2999999999999995e-05,6049726178200127744
EPIC204057095,242.753167,-23.840353,12.547,0.041,11.79,0.03,12.142,0.03,11.607,0.04,11.343,0.03,,,10.288,0.024,9.946,0.026,9.847,0.024,11.5816,0.0008,11.9818,0.0011,11.0103,0.0008,0.0041467,5.1200000000000004e-05,6049979035817194880
EPIC204129699,245.440751,-23.547865,11.634,0.097,10.803,0.072,,,,,,,,,9.318,0.024,8.942,0.047,8.866,0.019,10.5371,0.0004,10.9668,0.0011,9.9739,0.0009,0.0090193,5.82e-05,6050191241556876672
EPIC204221263,240.033579,-23.189288,12.344,0.246,11.344,0.111,11.838,0.03,11.156,0.04,10.941,0.06,,,9.911,0.024,9.6,0.026,9.47,0.021,11.184,0.001,11.6301,0.001,10.6144,0.0007,0.0051624999999999996,7.04e-05,6237129658760381056
EPIC204276894,248.663421,-22.970772,14.884,0.03,12.6,0.031,13.912,0.033,11.602,0.04,10.418,0.07,,,7.484,0.023,6.179,0.038,5.743,0.023,11.1065,0.0026,12.7567,0.0081,9.8892,0.0035,0.0007971,0.00010290000000000001,6051172830563588480
EPIC204312847,250.413702,-22.828453,11.901,0.117,11.429,0.109,,,,,,,,,9.986,0.025,9.75,0.026,9.658,0.025,11.0576,0.0009,11.3866,0.0012,10.5932,0.0009,0.0014822,8.51e-05,6048223047026539520
EPIC204346718,245.320059,-22.693525,,,,,,,,,,,,,13.3,0.023,12.618,0.025,12.225,0.021,17.1932,0.0013,19.38,0.0606,15.7311,0.0052,0.0074233,0.0001266,6050491992349863424
EPIC204489514,240.756735,-22.131222,,,,,,,,,,,,,12.731,0.023,12.11,0.027,11.729,0.025,16.4228,0.0034,18.6249,0.0218,15.0349,0.011,0.006936899999999999,0.0001672,6243332381812183296
EPIC204576757,247.157608,-21.767505,15.041,0.03,14.062,0.036,14.554,0.037,13.701,0.044,13.288,0.065,,,11.867,0.024,11.36,0.027,11.193,0.023,13.7131,0.0002,14.3319,0.0014,12.9494,0.001,0.0023333,2.7099999999999998e-05,6051922594416652416
EPIC204634789,247.946934,-21.523509,13.401,0.042,12.609,0.031,13.011,0.031,12.321,0.04,11.984,0.061,,,10.824,0.023,10.456,0.025,10.361,0.023,12.3715,0.0001,12.868,0.0014,11.714,0.0012,0.0032483,6.3e-05,6052314020557985152
EPIC204649811,244.820688,-21.460025,12.366,0.176,12.297,0.22,11.972,0.03,11.626,0.04,11.454,0.06,,,10.572,0.023,10.413,0.025,10.298,0.023,11.649,0.0004,11.9661,0.001,11.1754,0.0008,0.0018667,4.58e-05,6244295171737056256
